company,aspect,sentiment_mean,rating_1_to_5
AMD,career_growth,0.023680803387015507,3.05
AMD,compensation_benefits,0.06314829584422223,3.13
AMD,culture_values,-0.05478310128095238,2.89
AMD,management,0.054726578280303036,3.11
AMD,work_life_balance,0.0017080652093137323,3.0
Accenture,career_growth,0.08889809512698206,3.18
Accenture,compensation_benefits,0.010796280063083153,3.02
Accenture,culture_values,0.04108199944501185,3.08
Accenture,management,0.07224175633418595,3.14
Accenture,work_life_balance,-0.015191159823878406,2.97
Adobe,career_growth,-0.08973319407676766,2.82
Adobe,compensation_benefits,-0.31805663228294573,2.36
Adobe,culture_values,-0.33153990825035523,2.34
Adobe,management,-0.17409787309893943,2.65
Adobe,work_life_balance,-0.3231395191654382,2.35
Airbnb,career_growth,0.04125416666666667,3.08
Airbnb,compensation_benefits,0.04807967994339623,3.1
Airbnb,culture_values,0.4540722,3.91
Airbnb,management,0.15659017666666666,3.31
Airbnb,work_life_balance,0.08006468177551021,3.16
Amazon,career_growth,-0.054202895774913475,2.89
Amazon,compensation_benefits,-0.2886306425885228,2.42
Amazon,culture_values,-0.14383443003657306,2.71
Amazon,management,-0.21843237803521126,2.56
Amazon,work_life_balance,-0.19120011346099755,2.62
Apple,career_growth,0.3728893637196114,3.75
Apple,compensation_benefits,0.06073241073862435,3.12
Apple,culture_values,-0.260214442648581,2.48
Apple,management,-0.03682993007056071,2.93
Apple,work_life_balance,0.15500870209214287,3.31
Atlassian,career_growth,-0.09324714834990339,2.81
Atlassian,compensation_benefits,-0.207340425062204,2.59
Atlassian,culture_values,-0.16368992685920428,2.67
Atlassian,management,-0.14511557630226932,2.71
Atlassian,work_life_balance,-0.2094376881789964,2.58
Capgemini,career_growth,-0.12027481025000003,2.76
Capgemini,compensation_benefits,-0.08781833128571429,2.82
Capgemini,culture_values,0.3203898055,3.64
Capgemini,management,0.0498077517777778,3.1
Capgemini,work_life_balance,-0.17263272283333336,2.65
Citadel,career_growth,0.16050811118933334,3.32
Citadel,compensation_benefits,0.048171920122655004,3.1
Citadel,culture_values,0.11224259089930555,3.22
Citadel,management,0.14407494792826087,3.29
Citadel,work_life_balance,0.08356031593947369,3.17
Cognizant,career_growth,-0.0546025212628205,2.89
Cognizant,compensation_benefits,-0.09094331045964583,2.82
Cognizant,culture_values,-0.056914770638636356,2.89
Cognizant,management,-0.1069747005907,2.79
Cognizant,work_life_balance,-0.09953714160128205,2.8
Deloitte,career_growth,0.13400389106382835,3.27
Deloitte,compensation_benefits,-0.03565753215279058,2.93
Deloitte,culture_values,0.05897666039112555,3.12
Deloitte,management,0.0028592396006827765,3.01
Deloitte,work_life_balance,-0.11616031997204174,2.77
EY,career_growth,-0.02623811777695853,2.95
EY,compensation_benefits,-0.053999306879579545,2.89
EY,culture_values,-0.11073235185546416,2.78
EY,management,-0.117905702529577,2.76
EY,work_life_balance,-0.07651287547714604,2.85
Goldman Sachs,career_growth,0.18944634481666667,3.38
Goldman Sachs,compensation_benefits,0.06709844853194444,3.13
Goldman Sachs,culture_values,0.0893124502352941,3.18
Goldman Sachs,management,0.06240563264225352,3.12
Goldman Sachs,work_life_balance,0.06403279981250001,3.13
Google,career_growth,0.23253480323860892,3.47
Google,compensation_benefits,-0.06249523484442641,2.88
Google,culture_values,-0.04853740049751143,2.9
Google,management,-0.10398370423301093,2.79
Google,work_life_balance,0.019832444573540824,3.04
HCL,career_growth,-0.18533403255000003,2.63
HCL,compensation_benefits,-0.3829907454017857,2.23
HCL,culture_values,-0.3427431577941177,2.31
HCL,management,-0.3231626427272728,2.35
HCL,work_life_balance,-0.4693375686666667,2.06
HubSpot,career_growth,0.1839350630357143,3.37
HubSpot,compensation_benefits,0.17875813066363638,3.36
HubSpot,culture_values,0.17529904797727275,3.35
HubSpot,management,0.1466451925,3.29
HubSpot,work_life_balance,0.10472220196153845,3.21
Infosys,career_growth,-0.11182594033063381,2.78
Infosys,compensation_benefits,-0.10169627992525072,2.8
Infosys,culture_values,-0.1320053927780127,2.74
Infosys,management,-0.18875633967310168,2.62
Infosys,work_life_balance,-0.2065761305241792,2.59
Intel,career_growth,0.32933912506643354,3.66
Intel,compensation_benefits,0.20788745156010638,3.42
Intel,culture_values,0.07174752010843373,3.14
Intel,management,0.051046110166708174,3.1
Intel,work_life_balance,0.15344285387957823,3.31
JPMorgan,career_growth,0.1070000483030303,3.21
JPMorgan,compensation_benefits,0.13267194481884056,3.27
JPMorgan,culture_values,0.08749259729782609,3.17
JPMorgan,management,0.010579682999999996,3.02
JPMorgan,work_life_balance,-0.050055983361702125,2.9
Jane Street,career_growth,0.26491497031628786,3.53
